"","NACE1","NACE2","NACE3","NACE4","NACE.code","turnover","employees","turnover.prev","employees.prev"
"1268","Q - Human health and social work activities","88 - Social work activities without accommodation","88.1 - Social work activities without accommodation for the elderly and disabled","88.1.0 - Social work activities without accommodation for the elderly and disabled","8810",NA,NA,NA,NA
"1273","Q - Human health and social work activities","88 - Social work activities without accommodation","88.9 - Other social work activities without accommodation","88.9.1 - Child day-care activities","8891",NA,NA,NA,NA
"1276","Q - Human health and social work activities","88 - Social work activities without accommodation","88.9 - Other social work activities without accommodation","88.9.9 - Other social work activities without accommodation n.e.c.","8899",NA,NA,NA,NA
"1284","R - Arts, entertainment and recreation","90 - Creative, arts and entertainment activities","90.0 - Creative, arts and entertainment activities","90.0.1 - Performing arts","9001",NA,NA,NA,NA
"1288","R - Arts, entertainment and recreation","90 - Creative, arts and entertainment activities","90.0 - Creative, arts and entertainment activities","90.0.2 - Support activities to performing arts","9002",NA,NA,NA,NA
"1289","R - Arts, entertainment and recreation","90 - Creative, arts and entertainment activities","90.0 - Creative, arts and entertainment activities","90.0.3 - Artistic creation","9003",NA,NA,NA,NA
"1290","R - Arts, entertainment and recreation","90 - Creative, arts and entertainment activities","90.0 - Creative, arts and entertainment activities","90.0.4 - Operation of arts facilities","9004",NA,NA,NA,NA
"1295","R - Arts, entertainment and recreation","91 - Libraries, archives, museums and other cultural activities","91.0 - Libraries, archives, museums and other cultural activities","91.0.1 - Library and archives activities","9101",NA,NA,NA,NA
"1299","R - Arts, entertainment and recreation","91 - Libraries, archives, museums and other cultural activities","91.0 - Libraries, archives, museums and other cultural activities","91.0.2 - Museums activities","9102",NA,NA,NA,NA
"1302","R - Arts, entertainment and recreation","91 - Libraries, archives, museums and other cultural activities","91.0 - Libraries, archives, museums and other cultural activities","91.0.3 - Operation of historical sites and buildings and similar visitor attractions","9103",NA,NA,NA,NA
"1303","R - Arts, entertainment and recreation","91 - Libraries, archives, museums and other cultural activities","91.0 - Libraries, archives, museums and other cultural activities","91.0.4 - Botanical and zoological gardens and nature reserves activities","9104",NA,NA,NA,NA
"1308","R - Arts, entertainment and recreation","92 - Gambling and betting activities","92.0 - Gambling and betting activities","92.0.0 - Gambling and betting activities","9200",NA,NA,NA,NA
"1313","R - Arts, entertainment and recreation","93 - Sports activities and amusement and recreation activities","93.1 - Sports activities","93.1.1 - Operation of sports facilities","9311",NA,NA,NA,NA
"1318","R - Arts, entertainment and recreation","93 - Sports activities and amusement and recreation activities","93.1 - Sports activities","93.1.2 - Activities of sport clubs","9312",NA,NA,NA,NA
"1328","R - Arts, entertainment and recreation","93 - Sports activities and amusement and recreation activities","93.1 - Sports activities","93.1.3 - Fitness facilities","9313",NA,NA,NA,NA
"1329","R - Arts, entertainment and recreation","93 - Sports activities and amusement and recreation activities","93.1 - Sports activities","Indoor sports","9314",NA,NA,NA,NA
"1337","R - Arts, entertainment and recreation","93 - Sports activities and amusement and recreation activities","93.1 - Sports activities","Watersports","9315",NA,NA,NA,NA
"1340","R - Arts, entertainment and recreation","93 - Sports activities and amusement and recreation activities","93.1 - Sports activities","93.1.9 - Other sports activities","9319",NA,NA,NA,NA
"1349","R - Arts, entertainment and recreation","93 - Sports activities and amusement and recreation activities","93.2 - Amusement and recreation activities","93.2.1 - Activities of amusement parks and theme parks","9321",NA,NA,NA,NA
"1352","R - Arts, entertainment and recreation","93 - Sports activities and amusement and recreation activities","93.2 - Amusement and recreation activities","93.2.9 - Other amusement and recreation activities","9329",NA,NA,NA,NA
"1358","S - Other services activities","94 - Activities of membership organisations","94.1 - Activities of business, employers and professional membership organisations","94.1.1 - Activities of business and employers membership organisations","9411",NA,NA,NA,NA
"1359","S - Other services activities","94 - Activities of membership organisations","94.1 - Activities of business, employers and professional membership organisations","94.1.2 - Activities of professional membership organisations","9412",NA,NA,NA,NA
"1361","S - Other services activities","94 - Activities of membership organisations","94.2 - Activities of trade unions","94.2.0 - Activities of trade unions","9420",NA,NA,NA,NA
"1363","S - Other services activities","94 - Activities of membership organisations","94.9 - Activities of other membership organisations","94.9.1 - Activities of religious organisations","9491",NA,NA,NA,NA
"1366","S - Other services activities","94 - Activities of membership organisations","94.9 - Activities of other membership organisations","94.9.2 - Activities of political organisations","9492",NA,NA,NA,NA
"1367","S - Other services activities","94 - Activities of membership organisations","94.9 - Activities of other membership organisations","94.9.9 - Activities of other membership organisations n.e.c.","9499",NA,NA,NA,NA
"1377","S - Other services activities","95 - Repair of computers and personal and household goods","95.1 - Repair of computers and communication equipment","95.1.1 - Repair of computers and peripheral equipment","9511",5505.79473970651,68,10395.3077736784,144
"1378","S - Other services activities","95 - Repair of computers and personal and household goods","95.1 - Repair of computers and communication equipment","95.1.2 - Repair of communication equipment","9512",15150.5620169453,122,8594.74704066975,90
"1380","S - Other services activities","95 - Repair of computers and personal and household goods","95.2 - Repair of personal and household goods","95.2.1 - Repair of consumer electronics","9521",7438.58969679868,99,4198.34839811302,56
"1381","S - Other services activities","95 - Repair of computers and personal and household goods","95.2 - Repair of personal and household goods","95.2.2 - Repair of household appliances and home and garden equipment","9522",8675.15079373134,83,6843.06995211912,111
"1382","S - Other services activities","95 - Repair of computers and personal and household goods","95.2 - Repair of personal and household goods","95.2.3 - Repair of footwear and leather goods","9523",883.878996326222,11,129.274948349917,3
"1383","S - Other services activities","95 - Repair of computers and personal and household goods","95.2 - Repair of personal and household goods","95.2.4 - Repair of furniture and home furnishings","9524",22883.6808588919,198,49393.3107159667,426
"1384","S - Other services activities","95 - Repair of computers and personal and household goods","95.2 - Repair of personal and household goods","95.2.5 - Repair of watches, clocks and jewellery","9525",188.771056975576,2,3306.50942258369,41
"1385","S - Other services activities","95 - Repair of computers and personal and household goods","95.2 - Repair of personal and household goods","95.2.9 - Repair of other personal and household goods","9529",2054.51679730692,30,2603.62499493957,34
"1388","S - Other services activities","96 - Other personal service activities","96.0 - Other personal service activities","96.0.1 - Washing and (dry-)cleaning of textile and fur products","9601",NA,NA,NA,NA
"1392","S - Other services activities","96 - Other personal service activities","96.0 - Other personal service activities","96.0.2 - Hairdressing and other beauty treatment","9602",NA,NA,NA,NA
"1395","S - Other services activities","96 - Other personal service activities","96.0 - Other personal service activities","96.0.3 - Funeral and related activities","9603",NA,NA,NA,NA
"1398","S - Other services activities","96 - Other personal service activities","96.0 - Other personal service activities","96.0.4 - Physical well-being activities","9604",NA,NA,NA,NA
"1399","S - Other services activities","96 - Other personal service activities","96.0 - Other personal service activities","96.0.9 - Other personal service activities n.e.c.","9609",NA,NA,NA,NA
"1403","T - Activities of households as employers; undifferentiated goods","97 - Activities of households as employers of domestic personnel","97.0 - Activities of households as employers of domestic personnel","97.0.0 - Activities of households as employers of domestic personnel","9700",NA,NA,NA,NA
"1406","T - Activities of households as employers; undifferentiated goods","98 - Undifferentiated goods- and services-producing activities of private households for own use","98.1 - Undifferentiated goods-producing activities of private households for own use","98.1.0 - Undifferentiated goods-producing activities of private households for own use","9810",NA,NA,NA,NA
"1408","T - Activities of households as employers; undifferentiated goods","98 - Undifferentiated goods- and services-producing activities of private households for own use","98.2 - Undifferentiated service-producing activities of private households for own use","98.2.0 - Undifferentiated service-producing activities of private households for own use","9820",NA,NA,NA,NA
"1412","U - Activities of extraterritorial organisations and bodies","99 - Activities of extraterritorial organisations and bodies","99.0 - Activities of extraterritorial organisations and bodies","99.0.0 - Activities of extraterritorial organisations and bodies ","9900",NA,NA,NA,NA
